Year,Month,Day,Hour,Minute,Occupancy
2018,2,9,8,51,Empty
2018,2,9,9,9,Empty
2018,2,16,12,46,Empty
2018,2,9,5,7,Empty
2018,2,13,4,48,Occupied
2018,2,13,7,35,Occupied
2018,1,28,19,34,Empty
2018,1,28,20,40,Empty
2018,1,23,11,43,Empty
2018,1,23,12,26,Empty
2018,1,23,12,38,Empty
2018,1,23,12,50,Occupied
2018,1,23,12,56,Occupied
2018,1,23,14,13,Occupied
2018,1,23,14,25,Empty
2018,2,10,2,34,Empty
2018,2,10,4,16,Empty
2018,1,29,23,53,Empty
2018,1,29,23,5,Empty
2018,1,20,18,21,Empty
2018,1,26,23,15,Occupied
2018,1,26,23,30,Occupied
2018,1,27,0,58,Occupied
2018,2,9,5,38,Empty
2018,2,16,9,52,Empty
2018,2,16,9,58,Occupied
2018,2,16,11,2,Empty
2018,2,16,11,43,Occupied
2018,1,23,11,31,Empty
2018,1,13,18,41,Empty
2018,1,13,19,24,Empty
2018,2,12,16,28,Occupied
2018,2,12,16,45,Empty
2018,2,12,17,9,Empty
2018,2,12,17,27,Occupied
2018,2,12,19,14,Empty
2018,1,15,5,17,Empty
2018,1,15,5,24,Empty
2018,1,15,7,54,Empty
